Person;Companion;Gift;Gift link
;;Conjunto de Abotoaduras Latão e Pedra ;https://www.teluricavintage.com.br/pd-96d5e1-conjunto-de-abotoaduras-vintage.html?ct=&p=1&s=1
;;Quebra-Cabeça Portinari Guerra 1000 Peças - Estrela;https://a.co/d/bXXxFQ6
;;Puzzle 500 peças The National Gallery - Claude;https://www.lojagrow.com.br/puzzle-500-pecas-the-national-gallery---claude/p
;;Puzzle 500 peças Flores em Amsterdam;https://www.lojagrow.com.br/puzzle-500-pecas-flores-em-amsterdam/p
;;Baralho Sunset ;https://www.triya.com.br/baralho-sunset-bsac19-zhs/p?idsku=2003783&gad_source=1&gclid=Cj0KCQjwv7O0BhDwARIsAC0sjWNCt2PYYlWQRIDpXB4Kc5Mu2X6tk-rL0Hme_GqPt65rVT9quNIDu8AaAo4_EALw_wcB
;; Máscara de Cílios Azul;https://contem1g.com.br/products/mascara-para-cilios-colorida-new-wave?variant=42991165931739
;;Deus na Escuridão - Valter Hugo Mãe;https://a.co/d/fZcUa7Y
;;A mão Esquerda da Escuridão- Ursula K. Le Guin  ;https://a.co/d/iy5fjIB
;;Lenço Quadrado Listras Verde e Laranja ;https://scarfme.com.br/collections/lenco-de-poliester/products/lenco-quadrado-listra-50x50-cetim-poliester?_pos=166&_fid=dda8adabf&_ss=c
;;Puzzle 1000 peças Pássaros Ilustrados;https://www.lojagrow.com.br/puzzle-1000-pecas-passaros-ilustrados---importado/p
;;Blazer Alfaiataria Xadrez Azul e Vermelho  ;https://www.teluricavintage.com.br/pd-96d0ce-blazer-alfaiataria-xadrez.html?ct=&p=1&s=1
;;T-Shirt Baba - Vote Ioio  - EXG;https://sitedababa.com.br/produtos/t-shirt-vote-ioio/
;;Petisqueira Oval Poá Colorido ;https://www.ferdanhome.com/produto/petisqueira-oval-big-dots-1165
;;Petisqueira Alta Poá Colorido  ;https://www.ferdanhome.com/produto/petisqueira-alta-big-dots-1166
;;Petisqueira Redonda Poá Colorido ;https://www.ferdanhome.com/produto/petisqueira-redonda-big-dots-1167
;;Moletom I cry a Lot  - Xg branca;https://usebemtevi.com/produtos/moletom-i-cry-a-lot/
;;Calça Cintura Alta Branca  - GG;https://www.cea.com.br/calca-wide-leg-de-moletom-cintura-alta-off-white-1051034-off_white/p
;;Box Carla Madeira ;https://www.travessa.com.br/box-carla-madeira-obra-reunida/artigo/c865c016-5e9c-4939-83d7-9cc42e31e9f3
;;Tuyo Bolsa pra Garrafa Branca - Branca ;https://www.tuyo.com.br/produto/bottlebag-bolsa-p-garrafa-79
;;Camisa Manga Longa Algodão Pima Branca - EXG ;https://www.hering.com.br/camiseta-basica-masculina-manga-longa-pima-kg7zn0asi/p
;;Jarra Vidro NODA- Alça Azul;https://nodacozinha.com.br/products/jarra-de-vidro-com-alca-azul
;;Camiseta Volta Logo Branca -  XG;https://www.katsukazan.com.br/produto/camiseta-volto-logo-branca-396
;;Taças com Pé Azul ;https://www.antoniooo.com/products/tacas-pes-azuis
;;Catan o Jogo ;https://a.co/d/0g8BFNg
;;Catan Expansão 5 e 6 Jogadores  ;https://a.co/d/3jABQAz
;;Brinco Desequilíbrio  ;https://www.mariaduartejwlr.com.br/pd-4ddbc4-brinco-desequilibrio.html?ct=&p=1&s=1
;;Brinco Peso ;https://www.mariaduartejwlr.com.br/pd-4de59d-brinco-peso.html?ct=&p=1&s=1
;;Tábua de Frios Poá Colorido ;https://www.ferdanhome.com/produto/tabua-de-frios-big-dots-1283
;;Petisqueira Poá Colorido ;https://www.ferdanhome.com/produto/petisqueira-canoa-big-dots-1164
;;Bolsa Pastel de Vento - Tetris ;https://www.katsukazan.com.br/produto/pastel-de-vento-tetris-130?language=pt-BR
;;Jogo Azul Mestre Chocolatier;https://www.mercadolivre.com.br/azul-mestre-chocolatier-galapagos/p/MLB22659013
;;Jacket Jeans Pieced Truker - XGG;https://www.levi.com.br/jaqueta-jeans-levis-90s-pieced-trucker-a60500000/p?skuId=446931
;;Livro 10 Autres Chaises ;https://a.co/d/16fSrOf
;;Anel Articulado Garra Prateado;https://skullonline.com.br/products/garra-genesis-prata
