gift,giftLink,segmentation,bought;
Conjunto de Abotoaduras Latão e Pedra,https://www.teluricavintage.com.br/pd-96d5e1-conjunto-de-abotoaduras-vintage.html?ct=&p=1&s=1,A;
Quebra-Cabeça Portinari Guerra 1000 Peças - Estrela,https://a.co/d/bXXxFQ6,A;
Puzzle 500 peças The National Gallery - Claude,https://www.lojagrow.com.br/puzzle-500-pecas-the-national-gallery---claude/p,A;
Puzzle 500 peças Flores em Amsterdam,https://www.lojagrow.com.br/puzzle-500-pecas-flores-em-amsterdam/p,A;
Baralho Sunset,https://www.triya.com.br/baralho-sunset-bsac19-zhs/p?idsku=2003783&gad_source=1&gclid=Cj0KCQjwv7O0BhDwARIsAC0sjWNCt2PYYlWQRIDpXB4Kc5Mu2X6tk-rL0Hme_GqPt65rVT9quNIDu8AaAo4_EALw_wcB,A;
Máscara de Cílios Azul,https://contem1g.com.br/products/mascara-para-cilios-colorida-new-wave?variant=42991165931739,A;
Deus na Escuridão - Valter Hugo Mãe,https://a.co/d/fZcUa7Y,A;
A mão Esquerda da Escuridão- Ursula K. Le Guin,https://a.co/d/iy5fjIB,A;
Lenço Quadrado Listras Verde e Laranja,https://scarfme.com.br/collections/lenco-de-poliester/products/lenco-quadrado-listra-50x50-cetim-poliester?_pos=166&_fid=dda8adabf&_ss=c,A;
R$ 100 - R$ 150,R$ 100 - R$ 150,B;
Puzzle 1000 peças Pássaros Ilustrados,https://www.lojagrow.com.br/puzzle-1000-pecas-passaros-ilustrados---importado/p,B;
Blazer Alfaiataria Xadrez Azul e Vermelho,https://www.teluricavintage.com.br/pd-96d0ce-blazer-alfaiataria-xadrez.html?ct=&p=1&s=1,B;
T-Shirt Baba - Vote Ioio - EXG,https://sitedababa.com.br/produtos/t-shirt-vote-ioio/,B;
R$ 150 - R$ 200,R$ 150 - R$ 200,C;
Petisqueira Oval Poá Colorido,https://www.ferdanhome.com/produto/petisqueira-oval-big-dots-1165,C;
Petisqueira Alta Poá Colorido,https://www.ferdanhome.com/produto/petisqueira-alta-big-dots-1166,C;
Petisqueira Redonda Poá Colorido,https://www.ferdanhome.com/produto/petisqueira-redonda-big-dots-1167,C;
Moletom I cry a Lot - Xg branca,https://usebemtevi.com/produtos/moletom-i-cry-a-lot/,C;
Calça Cintura Alta Branca - GG,https://www.cea.com.br/calca-wide-leg-de-moletom-cintura-alta-off-white-1051034-off_white/p,C;
Box Carla Madeira,https://www.travessa.com.br/box-carla-madeira-obra-reunida/artigo/c865c016-5e9c-4939-83d7-9cc42e31e9f3,C;
Tuyo Bolsa pra Garrafa Branca - Branca,https://www.tuyo.com.br/produto/bottlebag-bolsa-p-garrafa-79,C;
Camisa Manga Longa Algodão Pima Branca - EXG,https://www.hering.com.br/camiseta-basica-masculina-manga-longa-pima-kg7zn0asi/p,C;
Jarra Vidro NODA- Alça Azul,https://nodacozinha.com.br/products/jarra-de-vidro-com-alca-azul,C;
Camiseta Volta Logo Branca - XG,https://www.katsukazan.com.br/produto/camiseta-volto-logo-branca-396,C;
R$ 200 - R$ 250,R$ 200 - R$ 250,D;
Taças com Pé Azul,https://www.antoniooo.com/products/tacas-pes-azuis,D;
Catan o Jogo,https://a.co/d/0g8BFNg,D;
Catan Expansão 5 e 6 Jogadores,https://a.co/d/3jABQAz,D;
Brinco Desequilíbrio,https://www.mariaduartejwlr.com.br/pd-4ddbc4-brinco-desequilibrio.html?ct=&p=1&s=1,D;
Brinco Peso,https://www.mariaduartejwlr.com.br/pd-4de59d-brinco-peso.html?ct=&p=1&s=1,D;
R$ 250 - R$ 300,R$ 250 - R$ 300,E;
Tábua de Frios Poá Colorido,https://www.ferdanhome.com/produto/tabua-de-frios-big-dots-1283,E;
Petisqueira Poá Colorido,https://www.ferdanhome.com/produto/petisqueira-canoa-big-dots-1164,E;
R$ 300 - R$ 450,R$ 300 - R$ 450,F;
Bolsa Pastel de Vento - Tetris,https://www.katsukazan.com.br/produto/pastel-de-vento-tetris-130?language=pt-BR,F;
Jogo Azul Mestre Chocolatier,https://www.mercadolivre.com.br/azul-mestre-chocolatier-galapagos/p/MLB22659013,F;
Jacket Jeans Pieced Truker - XGG,https://www.levi.com.br/jaqueta-jeans-levis-90s-pieced-trucker-a60500000/p?skuId=446931,F;
Livro 10 Autres Chaises,https://a.co/d/16fSrOf,F;
R$ 450 - R$ 650,R$ 450 - R$ 650,G;
Anel Articulado Garra Prateado,https://skullonline.com.br/products/garra-genesis-prata,G;
;
R$ 50 - R$ 100;A
R$ 100 - R$ 150;B
R$ 150 - R$ 200;C
R$ 200 - R$ 250;D
R$ 250 - R$ 300;E
R$ 300 - R$ 450;F
R$ 450 - R$ 650;G
